prompt;num_essays;MAE_C1;QWK_C1;MAE_C2;QWK_C2;MAE_C3;QWK_C3;MAE_C4;QWK_C4;MAE_C5;QWK_C5;MAE_total;QWK_total
1;1;0,00;;0,00;;0,00;;0,00;;40,00;0,0000;40,00;0,0000
2;2;60,00;0,3333;40,00;0,6667;40,00;0,6667;60,00;0,3333;20,00;0,6667;220,00;0,6667
3;3;13,33;0,6667;53,33;0,4000;13,33;0,6667;13,33;0,6667;26,67;0,6667;120,00;0,8421
4;3;26,67;0,5714;53,33;0,4000;40,00;0,6400;40,00;0,6400;53,33;-0,8000;160,00;0,6250
5;1;0,00;;120,00;0,0000;80,00;0,0000;40,00;0,0000;80,00;0,0000;320,00;0,0000
6;2;40,00;0,6000;60,00;0,0000;20,00;0,6667;20,00;0,6667;60,00;0,0000;200,00;0,6000
8;2;20,00;0,0000;90,00;-0,1111;90,00;0,0000;0,00;;30,00;0,0000;190,00;0,0000
9;3;13,33;0,8571;13,33;0,6667;13,33;0,8966;13,33;0,8966;13,33;0,8966;66,67;0,8302
10;2;40,00;0,0000;40,00;0,0000;40,00;0,3333;60,00;0,3333;80,00;-0,1111;220,00;0,1111
11;3;40,00;0,5455;53,33;0,4000;26,67;0,5946;26,67;0,5000;40,00;0,5714;106,67;0,4906
12;2;20,00;0,6667;40,00;0,0000;10,00;0,6667;0,00;1,0000;20,00;0,0000;90,00;0,6000
13;2;20,00;0,0000;20,00;0,6667;40,00;-1,0000;40,00;0,0000;40,00;0,6000;40,00;0,6000
14;1;80,00;0,0000;40,00;0,0000;0,00;;40,00;0,0000;40,00;0,0000;120,00;0,0000
15;4;20,00;0,6667;10,00;0,8750;40,00;0,5789;30,00;0,6250;30,00;0,7000;110,00;0,8000
16;2;40,00;0,0000;40,00;0,0000;0,00;1,0000;40,00;0,0000;60,00;0,0000;140,00;0,6667
18;4;40,00;0,2727;30,00;0,4000;20,00;0,5000;20,00;0,5556;60,00;-0,1200;130,00;0,4571
19;2;80,00;0,1111;60,00;0,0000;40,00;0,6000;20,00;0,6667;40,00;0,6000;160,00;0,6000
21;2;40,00;-0,3333;0,00;;0,00;1,0000;0,00;1,0000;80,00;-0,6000;120,00;-0,6667
23;3;26,67;0,6667;93,33;0,0000;26,67;0,0000;53,33;0,0000;80,00;-0,5882;253,33;-0,0500
24;3;13,33;0,6667;13,33;0,8571;13,33;0,7273;40,00;0,4706;40,00;0,5000;93,33;0,8302
25;6;60,00;0,2247;53,33;0,0233;63,33;-0,0000;60,00;0,2418;86,67;0,0408;256,67;0,0933
26;2;20,00;0,6667;40,00;0,0000;70,00;0,0000;70,00;0,0000;80,00;0,0000;20,00;0,6667
27;3;40,00;0,5714;93,33;-0,1538;40,00;-0,1538;53,33;0,4000;93,33;0,1818;320,00;0,3377
28;4;60,00;0,1667;30,00;0,5000;30,00;0,5000;30,00;0,5714;90,00;0,1628;220,00;0,3000
29;2;20,00;0,0000;20,00;0,6667;10,00;0,6667;30,00;0,3333;60,00;0,0000;60,00;0,6667
30;3;40,00;0,0000;26,67;0,0000;13,33;0,4000;53,33;-0,5000;53,33;0,2500;80,00;-0,1538
32;2;40,00;0,6667;60,00;0,6667;80,00;0,3333;40,00;0,6667;100,00;0,1111;320,00;0,6667
33;2;20,00;0,6667;40,00;0,6667;60,00;-0,6667;60,00;-0,6667;20,00;0,6667;120,00;0,6667
34;4;0,00;1,0000;20,00;0,0000;30,00;-0,5000;30,00;-0,5000;20,00;0,7500;80,00;-0,0833
35;5;32,00;0,5588;56,00;0,0000;28,00;0,8113;40,00;0,3678;88,00;-0,1818;228,00;0,3836
36;5;16,00;0,4444;56,00;0,1667;52,00;0,4186;40,00;0,5455;56,00;0,1026;172,00;0,2857
37;4;50,00;0,4706;10,00;0,9000;30,00;0,6667;10,00;0,8333;30,00;0,3750;70,00;0,5000
38;1;40,00;0,0000;0,00;;40,00;0,0000;0,00;;80,00;0,0000;80,00;0,0000
39;4;40,00;0,5714;50,00;0,6667;55,00;0,5882;40,00;0,7500;80,00;-0,0714;245,00;0,3846
40;1;40,00;0,0000;0,00;;0,00;;40,00;0,0000;0,00;;80,00;0,0000
41;1;40,00;0,0000;80,00;0,0000;40,00;0,0000;40,00;0,0000;0,00;;200,00;0,0000
42;4;40,00;0,6667;30,00;0,6429;30,00;0,7692;50,00;0,2222;40,00;0,0000;130,00;0,8421
Geral;100;33,60;0,5300;41,40;0,4028;34,40;0,5204;35,20;0,5569;54,60;0,3011;157,20;0,5923
