prompt;num_essays;MAE_C1;QWK_C1;MAE_C2;QWK_C2;MAE_C3;QWK_C3;MAE_C4;QWK_C4;MAE_C5;QWK_C5;MAE_total;QWK_total
1;1;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
2;2;20,00;0,0000;20,00;0,6667;20,00;0,6667;20,00;0,0000;0,00;1,0000;80,00;0,6667
3;3;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
4;3;13,33;0,8000;26,67;0,5714;13,33;0,8000;13,33;0,8000;26,67;0,0000;93,33;0,5714
5;1;40,00;0,0000;0,00;;0,00;;0,00;;40,00;0,0000;0,00;
6;2;0,00;1,0000;40,00;0,6000;0,00;1,0000;0,00;1,0000;60,00;0,0000;100,00;0,6000
8;2;20,00;0,0000;20,00;0,0000;0,00;;20,00;0,0000;40,00;0,0000;60,00;0,0000
9;3;0,00;1,0000;0,00;1,0000;0,00;1,0000;13,33;0,8966;0,00;1,0000;13,33;0,8966
10;2;40,00;0,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;60,00;-0,3333;100,00;0,6667
11;3;40,00;0,5455;53,33;0,4000;40,00;0,5714;26,67;0,7500;13,33;0,6667;40,00;0,8571
12;2;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
13;2;20,00;0,0000;20,00;0,6667;20,00;0,0000;20,00;0,6667;0,00;1,0000;0,00;1,0000
14;1;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
15;4;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
16;2;0,00;1,0000;0,00;;0,00;1,0000;0,00;1,0000;0,00;;0,00;1,0000
18;4;30,00;0,2500;20,00;0,5000;10,00;0,5000;10,00;0,7500;30,00;0,0000;80,00;0,2857
19;2;60,00;0,3333;60,00;0,0000;20,00;0,6667;20,00;0,6667;20,00;0,6667;180,00;0,6667
21;2;20,00;0,0000;20,00;0,0000;0,00;1,0000;0,00;1,0000;20,00;0,0000;20,00;0,6667
23;3;26,67;0,6667;40,00;0,8000;26,67;0,0000;26,67;0,0000;40,00;0,0000;160,00;0,5000
24;3;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
25;6;33,33;0,5714;26,67;0,3478;33,33;0,2727;26,67;0,5556;20,00;0,5714;113,33;0,0513
26;2;0,00;1,0000;0,00;;0,00;;0,00;;0,00;;0,00;1,0000
27;3;0,00;1,0000;0,00;1,0000;13,33;0,6667;0,00;1,0000;0,00;1,0000;13,33;0,8571
28;4;20,00;0,7500;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;20,00;0,9286
29;2;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;;0,00;1,0000
30;3;13,33;0,0000;13,33;0,4000;0,00;1,0000;13,33;0,0000;26,67;0,6250;13,33;0,8000
32;2;20,00;0,6667;40,00;0,6667;40,00;0,6667;40,00;0,6667;20,00;0,6667;160,00;0,6667
33;2;0,00;1,0000;20,00;0,6667;0,00;1,0000;20,00;0,6667;0,00;1,0000;0,00;1,0000
34;4;20,00;0,0000;10,00;0,0000;10,00;0,0000;10,00;0,0000;10,00;0,8333;40,00;-0,2500
35;5;16,00;0,6875;8,00;0,8780;8,00;0,9296;0,00;1,0000;56,00;0,0559;56,00;0,8889
36;5;16,00;0,1667;16,00;0,6667;24,00;0,8148;24,00;0,5833;8,00;0,6667;56,00;0,8333
37;4;20,00;0,7647;10,00;0,9000;0,00;1,0000;0,00;1,0000;0,00;1,0000;10,00;0,9286
38;1;40,00;0,0000;40,00;0,0000;40,00;0,0000;0,00;;40,00;0,0000;0,00;
39;4;10,00;0,8000;0,00;1,0000;0,00;1,0000;0,00;1,0000;10,00;0,7500;20,00;0,9286
40;1;40,00;0,0000;0,00;;0,00;;40,00;0,0000;0,00;;80,00;0,0000
41;1;40,00;0,0000;40,00;0,0000;40,00;0,0000;40,00;0,0000;0,00;;160,00;0,0000
42;4;40,00;0,5000;40,00;0,5000;40,00;0,2941;40,00;0,0000;20,00;0,5000;180,00;0,2692
Geral;100;17,60;0,7994;15,60;0,8352;11,60;0,8532;11,60;0,8676;15,60;0,7652;52,80;0,8760
