prompt;num_essays;MAE_C1;QWK_C1;MAE_C2;QWK_C2;MAE_C3;QWK_C3;MAE_C4;QWK_C4;MAE_C5;QWK_C5;MAE_total;QWK_total
1;1;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
2;2;20,00;0,0000;20,00;0,6667;20,00;0,6667;40,00;0,3333;20,00;0,6667;80,00;0,6667
3;3;0,00;1,0000;26,67;0,4000;13,33;0,6667;13,33;0,6667;0,00;1,0000;53,33;0,6667
4;3;13,33;0,7273;40,00;0,7273;0,00;1,0000;0,00;1,0000;26,67;0,0000;0,00;1,0000
5;1;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
6;2;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
8;2;20,00;0,0000;20,00;0,0000;40,00;0,0000;0,00;;40,00;0,0000;0,00;
9;3;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
10;2;20,00;0,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;20,00;0,6667
11;3;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
12;2;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
13;2;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
14;1;40,00;0,0000;0,00;;40,00;0,0000;0,00;;0,00;;0,00;
15;4;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
16;2;20,00;0,6667;20,00;0,0000;0,00;1,0000;0,00;1,0000;0,00;;0,00;1,0000
18;4;20,00;0,5556;10,00;0,8000;0,00;1,0000;0,00;1,0000;20,00;0,1111;50,00;0,6154
19;2;40,00;-0,3333;40,00;0,0000;0,00;1,0000;20,00;0,0000;20,00;0,6667;0,00;1,0000
21;2;20,00;0,0000;20,00;0,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
23;3;0,00;1,0000;26,67;0,8571;0,00;;0,00;;0,00;1,0000;26,67;0,8571
24;3;26,67;0,5714;26,67;0,7692;26,67;0,4000;0,00;1,0000;26,67;0,8000;0,00;1,0000
25;6;33,33;0,6292;66,67;-0,1304;60,00;0,1045;66,67;0,3226;40,00;0,2857;213,33;-0,0879
26;2;0,00;1,0000;0,00;;0,00;;0,00;;0,00;;0,00;1,0000
27;3;13,33;0,8571;26,67;0,7273;13,33;0,6667;0,00;1,0000;0,00;1,0000;0,00;1,0000
28;4;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
29;2;20,00;0,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;20,00;0,0000;0,00;1,0000
30;3;13,33;0,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;13,33;0,7273
32;2;20,00;0,6667;20,00;0,6667;20,00;0,6667;20,00;0,6667;20,00;0,6667;100,00;0,6667
33;2;40,00;0,0000;20,00;0,6667;40,00;0,0000;40,00;0,0000;20,00;0,6667;0,00;1,0000
34;4;10,00;0,5000;0,00;;0,00;1,0000;0,00;1,0000;0,00;1,0000;10,00;0,5000
35;5;16,00;0,8333;24,00;0,7727;8,00;0,9296;16,00;0,8077;56,00;0,0559;104,00;0,8221
36;5;8,00;0,0000;8,00;0,6667;8,00;0,7619;16,00;0,6154;16,00;0,6667;40,00;0,6667
37;4;10,00;0,8571;0,00;1,0000;0,00;1,0000;0,00;1,0000;10,00;0,6667;0,00;1,0000
38;1;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
39;4;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
40;1;40,00;0,0000;0,00;;0,00;;0,00;;40,00;0,0000;80,00;0,0000
41;1;40,00;0,0000;80,00;0,0000;80,00;0,0000;80,00;0,0000;0,00;;280,00;0,0000
42;4;20,00;0,6667;30,00;0,7500;20,00;0,8095;30,00;0,6667;20,00;0,5000;100,00;0,6129
Geral;100;13,20;0,8689;15,60;0,7967;10,40;0,8486;10,40;0,8722;12,80;0,8047;36,80;0,9005
