prompt;num_essays;MAE_C1;QWK_C1;MAE_C2;QWK_C2;MAE_C3;QWK_C3;MAE_C4;QWK_C4;MAE_C5;QWK_C5;MAE_total;QWK_total
1;1;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
2;2;20,00;0,0000;20,00;0,6667;20,00;0,6667;20,00;0,0000;0,00;1,0000;80,00;0,6667
3;3;13,33;0,4000;13,33;0,8000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
4;3;26,67;0,5714;40,00;0,2105;26,67;0,5714;26,67;0,5714;40,00;-0,3636;160,00;0,5714
5;1;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
6;2;20,00;0,6667;20,00;0,6667;0,00;1,0000;0,00;1,0000;40,00;0,6667;80,00;0,6667
8;2;20,00;0,0000;20,00;0,0000;20,00;0,0000;0,00;;40,00;0,0000;20,00;0,0000
9;3;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
10;2;20,00;0,0000;20,00;0,6667;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
11;3;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
12;2;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
13;2;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
14;1;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
15;4;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
16;2;0,00;1,0000;0,00;;0,00;1,0000;0,00;1,0000;0,00;;0,00;1,0000
18;4;0,00;1,0000;10,00;0,8000;0,00;1,0000;0,00;1,0000;0,00;1,0000;10,00;0,9474
19;2;40,00;0,3333;40,00;0,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;80,00;0,6667
21;2;20,00;0,0000;20,00;0,0000;20,00;0,6667;20,00;0,6667;40,00;-0,3333;0,00;1,0000
23;3;13,33;0,6667;13,33;0,8966;13,33;0,0000;13,33;0,0000;26,67;0,0000;80,00;0,5000
24;3;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
25;6;26,67;0,7826;26,67;0,5455;20,00;0,6842;33,33;0,6400;26,67;0,7273;80,00;0,7611
26;2;0,00;1,0000;0,00;;0,00;;0,00;;0,00;;0,00;1,0000
27;3;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
28;4;20,00;0,5000;10,00;0,9000;10,00;0,6667;0,00;1,0000;20,00;0,8000;40,00;0,9167
29;2;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;;0,00;1,0000
30;3;13,33;0,0000;0,00;1,0000;13,33;0,4000;0,00;1,0000;0,00;1,0000;0,00;1,0000
32;2;40,00;0,6667;40,00;0,6667;40,00;0,6667;40,00;0,6667;40,00;0,0000;200,00;0,6667
33;2;20,00;0,6667;20,00;0,6667;20,00;0,6667;20,00;0,6667;0,00;1,0000;0,00;1,0000
34;4;10,00;0,5000;0,00;;0,00;1,0000;0,00;1,0000;0,00;1,0000;10,00;0,5000
35;5;8,00;0,8780;8,00;0,8780;0,00;1,0000;0,00;1,0000;40,00;0,2000;56,00;0,8521
36;5;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000;0,00;1,0000
37;4;10,00;0,8571;0,00;1,0000;0,00;1,0000;10,00;0,8889;0,00;1,0000;0,00;1,0000
38;1;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
39;4;10,00;0,8889;10,00;0,8000;20,00;0,6667;10,00;0,8000;50,00;0,3750;0,00;1,0000
40;1;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
41;1;40,00;0,0000;40,00;0,0000;40,00;0,0000;40,00;0,0000;0,00;;160,00;0,0000
42;4;30,00;0,7500;20,00;0,6667;30,00;0,6250;20,00;0,6667;20,00;0,5000;120,00;0,6129
Geral;100;11,60;0,8870;10,40;0,9017;8,00;0,9203;7,20;0,9304;12,40;0,7892;32,80;0,9415
